#SampleID	BarcodeSequence	LinkerPrimerSequence	InputFileName	Description
S1			S1.fasta	Control_I.D._S1
S10			S10.fasta	Control_I.D._S10
S11			S11.fasta	Control_I.D._S11
S12			S12.fasta	Control_I.D._S12
S13			S13.fasta	Control_I.D._S13
S14			S14.fasta	Control_I.D._S14
S15			S15.fasta	Control_I.D._S15
S17			S17.fasta	Control_I.D._S17
S18			S18.fasta	Control_I.D._S18
S19			S19.fasta	Control_I.D._S19
S20			S20.fasta	Control_I.D._S20
S21			S21.fasta	Control_I.D._S21
S22			S22.fasta	Control_I.D._S22
S23			S23.fasta	Control_I.D._S23
S25			S25.fasta	Control_I.D._S25
S26			S26.fasta	Control_I.D._S26
S27			S27.fasta	Control_I.D._S27
S28			S28.fasta	Control_I.D._S28
S29			S29.fasta	Control_I.D._S29
S30			S30.fasta	Control_I.D._S30
S31			S31.fasta	Control_I.D._S31
S32			S32.fasta	Control_I.D._S32
S33			S33.fasta	Control_I.D._S33
S34			S34.fasta	Control_I.D._S34
S35			S35.fasta	Control_I.D._S35
S36			S36.fasta	Control_I.D._S36
S37			S37.fasta	Control_I.D._S37
S38			S38.fasta	Control_I.D._S38
S39			S39.fasta	Control_I.D._S39
S40			S40.fasta	Control_I.D._S40
S41			S41.fasta	Control_I.D._S41
S42			S42.fasta	Control_I.D._S42
S43			S43.fasta	Treatment_I.D._S43
S44			S44.fasta	Treatment_I.D._S44
S45			S45.fasta	Treatment_I.D._S45
S46			S46.fasta	Treatment_I.D._S46
S47			S47.fasta	Treatment_I.D._S47
S48			S48.fasta	Treatment_I.D._S48
S49			S49.fasta	Treatment_I.D._S49
S5			S5.fasta	Treatment_I.D._S5
S50			S50.fasta	Treatment_I.D._S50
S51			S51.fasta	Treatment_I.D._S51
S52			S52.fasta	Treatment_I.D._S52
S53			S53.fasta	Treatment_I.D._S53
S54			S54.fasta	Treatment_I.D._S54
S55			S55.fasta	Treatment_I.D._S55
S56			S56.fasta	Treatment_I.D._S56
S57			S57.fasta	Treatment_I.D._S57
S58			S58.fasta	Treatment_I.D._S58
S59			S59.fasta	Treatment_I.D._S59
S6			S6.fasta	Treatment_I.D._S6
S7			S7.fasta	Treatment_I.D._S7
S9			S9.fasta	Treatment_I.D._S9
